PULocationID,yellow_total_amount,green_total_amount,Borough,Zone,service_zone,biv_amount_color,yellow_change_percent,green_change_percent,biv_ratio_color,total_change_percent,log_total_amount,log_total_change_percent,sigmoid_total_change_percent,newlog_total_change_percent
115,1238.95,2276.79,Staten Island,Grymes Hill/Clifton,Boro Zone,#b8d6be,65.02390878697871,-29.350160117171026,#e8e8e8,-11.518318019031538,8.165005308403,0.0,9.946120670279193e-06,-11.518318019031538
116,51712.48,25378.13,Manhattan,Hamilton Heights,Boro Zone,#2a5a5b,-63.29310959317071,-76.63002829835101,#5a9178,-69.09854032344019,11.252736762251162,0.0,9.79231171962422e-31,-69.09854032344019
117,28290.28,8652.25,Queens,Hammels/Arverne,Boro Zone,#2a5a5b,153.0524767858628,-60.28576713682517,#b8d6be,12.062926880762769,10.517118740850275,2.4901368551177043,0.9999942305433516,2.5697782090580605
118,441.7,213.37,Staten Island,Heartland Village/Todt Hill,Boro Zone,#e8e8e8,-79.67083038007308,-56.912358642972535,#567994,-75.44659924885866,6.484742100154043,0.0,1.7137926181513884e-33,-75.44659924885866
119,14140.84,8793.22,Bronx,Highbridge,Boro Zone,#5a9178,7.973696909722864,-64.44948824392222,#b8d6be,-39.37760038064021,10.040378420797843,0.0,7.916358329905241e-18,-39.37760038064021
120,906.62,1051.45,Manhattan,Highbridge Park,Boro Zone,#e8e8e8,-50.50336303284415,-11.80960369050115,#b5c0da,-35.24750903625415,7.5797145732175,0.0,4.922676819963604e-16,-35.24750903625415
121,7488.96,4862.16,Queens,Hillcrest/Pomonok,Boro Zone,#90b2b3,-32.57671926232828,-69.16287768999372,#90b2b3,-54.04167725596761,9.421502026203301,0.0,3.388424201103943e-24,-54.04167725596761
122,5369.4,3377.69,Queens,Hollis,Boro Zone,#b8d6be,-30.648873596354605,-67.6072425268286,#90b2b3,-51.85875999744629,9.076476352608946,0.0,3.0062610826958066e-23,-51.85875999744629
123,6710.16,5248.55,Brooklyn,Homecrest,Boro Zone,#5a9178,-13.15979510859297,-69.45461127092865,#b8d6be,-51.991966217325626,9.38921516215559,0.0,2.631333946341657e-23,-51.991966217325626
124,5695.76,1606.07,Queens,Howard Beach,Boro Zone,#b8d6be,-54.50921634510559,-75.81966410972517,#5a9178,-61.89568923859532,8.895880280651774,0.0,1.3153572112059254e-27,-61.89568923859532
125,41181.58,37.11,Manhattan,Hudson Sq,Yellow Zone,#6c83b5,-93.47449982922322,-0.0,#6c83b5,-93.46861949847008,10.626647073250448,0.0,2.5532557622059337e-41,-93.46861949847008
126,9183.35,3178.65,Bronx,Hunts Point,Boro Zone,#90b2b3,69.32453461958285,-70.05733911465846,#b8d6be,-22.92685907311475,9.42238253021922,0.0,1.1040573088692871e-10,-22.92685907311475
127,10815.28,8522.79,Manhattan,Inwood,Boro Zone,#5a9178,-28.63382345857337,-66.43025865053642,#90b2b3,-52.302250404139414,9.869830970852847,0.0,1.9293954870794844e-23,-52.302250404139414
128,2146.94,1427.79,Manhattan,Inwood Hill Park,Boro Zone,#b8d6be,13.064085482418498,-24.01775308523716,#e8e8e8,-5.379859078131688,8.181644927800466,0.0,0.00458733073649525,-5.379859078131688
129,19393.52,10993.01,Queens,Jackson Heights,Boro Zone,#5a9178,-73.25340140088673,-93.37376859832216,#5a9178,-87.25449357670985,10.321754697094736,0.0,1.2760124693132115e-38,-87.25449357670985
130,20954.19,20628.0,Queens,Jamaica,Boro Zone,#2a5a5b,-73.68637441485866,-87.46572488250484,#5a9178,-82.97243944959241,10.63542722957768,0.0,9.236924567056935e-37,-82.97243944959241
131,7299.44,4733.68,Queens,Jamaica Estates,Boro Zone,#90b2b3,-28.566912982932053,-61.02350275340552,#90b2b3,-46.193109942839975,9.395418126963854,0.0,8.681349683151025e-21,-46.193109942839975
132,680775.76,453.61,Queens,JFK Airport,Airports,#6c83b5,-94.77960406717985,-92.05953814698636,#2a5a5b,-94.77841302967272,13.431654341932257,0.0,6.890618688121654e-42,-94.77841302967272
133,6725.54,3182.52,Brooklyn,Kensington,Boro Zone,#90b2b3,-38.10017302948865,-65.59791156583917,#90b2b3,-50.7457440911904,9.20110384630347,0.0,9.149626398352171e-23,-50.7457440911904
134,5837.45,5127.62,Queens,Kew Gardens,Boro Zone,#73ae80,-77.71917175297325,-91.40744226279858,#2a5a5b,-87.23129411085193,9.30247004478054,0.0,1.3059613326126706e-38,-87.23129411085193
135,7317.75,2642.46,Queens,Kew Gardens Hills,Boro Zone,#90b2b3,-54.371346870670344,-71.3676450032669,#90b2b3,-60.57946177851744,9.206353434693721,0.0,4.9053955517366996e-27,-60.57946177851744
136,13814.68,11939.42,Bronx,Kingsbridge Heights,Boro Zone,#5a9178,6.819188773944019,-49.00383942006775,#e8e8e8,-29.14022114636446,10.156349116718168,0.0,2.2108676992276687e-13,-29.14022114636446
137,334961.32,3629.32,Manhattan,Kips Bay,Yellow Zone,#567994,-73.49960205255438,322.83011394086265,#b5c0da,-73.23064749611797,12.732547105062231,0.0,1.5715705657624642e-32,-73.23064749611797
138,451969.0,162.2,Queens,LaGuardia Airport,Airports,#6c83b5,-93.52586622134176,-94.53805848520359,#2a5a5b,-93.5262966043714,13.021727682182224,0.0,2.4101577658891023e-41,-93.5262966043714
139,7089.76,4431.86,Queens,Laurelton,Boro Zone,#90b2b3,-43.10623204455358,-62.27889645264031,#90b2b3,-52.41049101998231,9.351980549363114,0.0,1.7314619663240506e-23,-52.41049101998231
140,462247.66,5828.04,Manhattan,Lenox Hill East,Yellow Zone,#2a5a5b,-75.53880726355844,1190.6457613606165,#b5c0da,-75.23631684422708,13.056385313956067,0.0,2.114865515821201e-33,-75.23631684422708
141,413487.9,845.22,Manhattan,Lenox Hill West,Yellow Zone,#6c83b5,-80.63570572112033,1316.2533512064344,#6c83b5,-80.59666503330463,12.93442556694126,0.0,9.938323201943632e-36,-80.59666503330463
142,376551.46,1123.21,Manhattan,Lincoln Square East,Yellow Zone,#6c83b5,-86.44410518898705,1164.8761261261259,#6c83b5,-86.40410413791069,12.841788442644415,0.0,2.9865814210822484e-38,-86.40410413791069
143,173015.55000000002,457.5,Manhattan,Lincoln Square West,Yellow Zone,#6c83b5,-83.51558157746545,488.65156973751925,#6c83b5,-83.47321610571224,12.063777534891775,0.0,5.598128441840987e-37,-83.47321610571224
144,54193.68,536.86,Manhattan,Little Italy/NoLiTa,Yellow Zone,#6c83b5,-95.13574304651917,-0.0,#6c83b5,-95.08755615483648,10.910177150707232,0.0,5.058235721775538e-42,-95.08755615483648
145,30054.51,3013.86,Queens,Long Island City/Hunters Point,Boro Zone,#567994,-86.05136310177072,-96.00326967353922,#2a5a5b,-88.63136513781185,10.406332515374926,0.0,3.220232265043212e-39,-88.63136513781185
146,20135.19,2503.16,Queens,Long Island City/Queens Plaza,Boro Zone,#90b2b3,-81.40626073504741,-92.997905100405,#2a5a5b,-84.28316824713103,10.027400649802596,0.0,2.4904917816560917e-37,-84.28316824713103
